id_cotista,perfil_risco,municipio_origem,uf,data_entrada,valor_investido
8962,Moderado,SAO DOMINGOS DO NORTE,ESPIRITO SANTO,2026-04-09,106983.91
2133,Moderado,ARACRUZ,ESPIRITO SANTO,2026-02-25,62268.94
9727,Moderado,ALEGRE,ESPIRITO SANTO,2026-03-01,112205.58
3060,Conservador,JAGUARE,ESPIRITO SANTO,2024-10-22,71122.34
8787,Moderado,VILA VELHA,ESPIRITO SANTO,2025-09-15,83239.8
3705,Conservador,CACHOEIRO DE ITAPEMIRIM,ESPIRITO SANTO,2025-02-05,68821.46
9645,Moderado,CARIACICA,ESPIRITO SANTO,2026-05-23,105739.88
7932,Arrojado,SERRA,ESPIRITO SANTO,2024-12-26,130695.32
9835,Conservador,VILA VELHA,ESPIRITO SANTO,2026-02-21,76104.69
4295,Arrojado,VITORIA,ESPIRITO SANTO,2026-01-19,95615.34
6107,Moderado,IBATIBA,ESPIRITO SANTO,2025-05-20,87508.35
7118,Arrojado,COLATINA,ESPIRITO SANTO,2025-06-20,30353.8
9479,Moderado,VILA VELHA,ESPIRITO SANTO,2025-06-30,46744.72
2982,Moderado,NOVA VENECIA,ESPIRITO SANTO,2025-01-23,73710.63
4681,Arrojado,GUARAPARI,ESPIRITO SANTO,2024-09-02,69580.56
6539,Moderado,SANTA TERESA,ESPIRITO SANTO,2024-07-31,40168.44
4770,Conservador,CARIACICA,ESPIRITO SANTO,2025-10-15,13966.61
4608,Arrojado,ARACRUZ,ESPIRITO SANTO,2024-07-20,45549.72
2163,Moderado,VILA VELHA,ESPIRITO SANTO,2026-01-15,96950.2
1964,Moderado,MANTENOPOLIS,ESPIRITO SANTO,2025-01-08,43959.84
2104,Conservador,VITORIA,ESPIRITO SANTO,2026-06-18,22061.24
1514,Conservador,CARIACICA,ESPIRITO SANTO,2026-05-13,45060.13
6413,Arrojado,VILA VELHA,ESPIRITO SANTO,2024-09-08,106304.23
9423,Conservador,SAO GABRIEL DA PALHA,ESPIRITO SANTO,2025-01-15,70134.59
5562,Arrojado,COLATINA,ESPIRITO SANTO,2025-12-16,109720.6
8953,Moderado,LINHARES,ESPIRITO SANTO,2024-12-28,32123.64
9834,Arrojado,VITORIA,ESPIRITO SANTO,2024-10-25,93825.32
8744,Moderado,SOORETAMA,ESPIRITO SANTO,2025-01-19,18889.86
8749,Conservador,CASTELO,ESPIRITO SANTO,2026-04-03,16189.82
7669,Moderado,VIANA,ESPIRITO SANTO,2024-12-09,129270.17
2545,Arrojado,CARIACICA,ESPIRITO SANTO,2024-09-28,115042.41
8062,Moderado,ALFREDO CHAVES,ESPIRITO SANTO,2025-04-16,72708.7
7939,Moderado,LINHARES,ESPIRITO SANTO,2025-05-30,113220.0
8651,Moderado,MUCURICI,ESPIRITO SANTO,2026-05-16,84523.28
1887,Arrojado,BARRA DE SAO FRANCISCO,ESPIRITO SANTO,2025-12-20,171352.38
2612,Moderado,VILA VELHA,ESPIRITO SANTO,2024-08-31,89251.38
7596,Conservador,CARIACICA,ESPIRITO SANTO,2026-01-31,10629.87
6559,Moderado,VITORIA,ESPIRITO SANTO,2026-03-28,81257.34
2790,Moderado,SERRA,ESPIRITO SANTO,2025-01-24,94834.7
4139,Moderado,SANTA TERESA,ESPIRITO SANTO,2024-12-09,92486.19
9786,Arrojado,JOAO NEIVA,ESPIRITO SANTO,2025-06-28,118134.57
3296,Arrojado,ANCHIETA,ESPIRITO SANTO,2025-06-07,85147.93
4006,Moderado,SAO MATEUS,ESPIRITO SANTO,2025-02-16,119009.37
8579,Conservador,JAGUARE,ESPIRITO SANTO,2025-01-25,17444.21
2235,Arrojado,SERRA,ESPIRITO SANTO,2025-06-24,108919.16
2604,Conservador,SERRA,ESPIRITO SANTO,2024-08-23,56650.85
9856,Arrojado,SANTA TERESA,ESPIRITO SANTO,2026-04-25,97577.91
1241,Conservador,COLATINA,ESPIRITO SANTO,2024-09-25,7989.56
4872,Moderado,GUARAPARI,ESPIRITO SANTO,2024-11-21,40044.15
7658,Arrojado,VITORIA,ESPIRITO SANTO,2025-07-27,152933.17
8886,Arrojado,VIANA,ESPIRITO SANTO,2024-12-28,179929.45
7570,Moderado,PIUMA,ESPIRITO SANTO,2026-06-15,14827.8
1960,Moderado,IBATIBA,ESPIRITO SANTO,2024-11-19,88181.14
7209,Conservador,DORES DO RIO PRETO,ESPIRITO SANTO,2024-07-16,48899.72
