id_operacao,id_projeto,data_hora,veiculo_modelo,energia_consumida_kwh,tempo_utilizacao_min,receita_gerada_brl
306c1a3d-5ad5-4efa-bdd8-9ce031b4d1a2,10,2025-07-11 21:28:11,Porsche Taycan,20.76,38,43.6
5b68aa8d-ee0f-4478-863c-c7b95139618a,20,2026-03-08 06:48:11,GWM Ora,57.15,59,120.02
368c6aa6-61ee-4e49-86a0-d908c8a601e7,6,2026-04-26 11:56:11,Nissan Leaf,30.96,33,65.02
3cc9c7c7-1aa4-4744-b97a-e608fb4aad40,15,2025-12-31 13:39:11,Volvo XC40,28.24,34,59.3
2b7b90a5-a5f1-4e5e-9045-086e4ea91955,4,2026-03-27 13:16:11,Volvo XC40,30.05,64,63.11
c941b6aa-0465-41cd-be40-643f8db0eee5,15,2026-01-19 11:59:11,Porsche Taycan,49.15,104,103.22
234be62b-1bd3-4a3d-9f92-9794c125e939,12,2026-01-19 00:30:11,Nissan Leaf,22.0,54,46.2
6a5eb20a-90b5-4839-973f-048a750e1993,13,2025-11-28 04:23:11,BYD Dolphin,15.98,104,33.56
f86fa006-d7b0-4c17-b188-db71294e11c1,3,2026-01-20 08:30:11,Renault Kwid E-Tech,30.44,118,63.92
5aa1487f-353d-4ccb-9dfb-3edfc1086971,8,2025-07-21 10:00:11,Volvo XC40,25.48,41,53.51
3f1778ce-3ba7-4ae1-8f62-de6080bd7ef2,8,2026-07-07 09:08:11,Renault Kwid E-Tech,14.5,64,30.45
44414c11-170e-4413-857c-23cca9114747,12,2025-08-11 09:54:11,BYD Dolphin,18.76,95,39.4
7050e7dd-cfa1-4103-933b-c1c6a16dd40f,8,2026-06-26 22:56:11,BYD Seal,23.69,97,49.75
4ee17ad8-a919-4601-a804-d60cc6d97a9a,5,2026-01-03 10:47:11,Nissan Leaf,58.56,76,122.98
3df69f82-de91-4ffe-9505-0dcf0d231e9f,1,2026-06-20 13:43:11,Nissan Leaf,10.48,43,22.01
f5d5cdba-a8cc-4b78-ba0b-9cf03e408231,17,2025-09-22 12:42:11,Renault Kwid E-Tech,44.24,42,92.9
d6e7471e-fe48-4f09-82fc-5a55e41f87b2,15,2025-07-22 04:21:11,GWM Ora,52.26,26,109.75
36665831-bdf6-4ae0-8431-41e88707c562,12,2026-01-15 07:48:11,BYD Seal,24.34,95,51.11
b8e38250-7eba-47c9-9420-ca23d741a011,1,2026-06-19 00:27:11,Renault Kwid E-Tech,46.65,109,97.97
5ec7db49-a0ab-4067-9a4b-cfaf24364a1d,6,2025-09-17 08:21:11,Volvo XC40,11.67,27,24.51
6668d517-7c15-45aa-a57d-0c04002c1d29,17,2025-09-02 22:57:11,Renault Kwid E-Tech,24.67,119,51.81
244af0ec-347c-43cc-be6b-9e04dab081e5,15,2025-08-12 21:16:11,BYD Dolphin,40.48,36,85.01
d2981f08-e68d-4059-b336-4153d69ca3e5,19,2026-01-28 21:00:11,Volvo XC40,22.97,63,48.24
f9343db6-639a-49c4-ba3a-820f6a101a50,1,2026-03-19 23:04:11,BYD Seal,11.67,90,24.51
8772666b-3ede-48fd-b7a4-0c970cfbabf8,19,2025-10-26 08:58:11,BYD Dolphin,13.1,77,27.51
2c106745-2666-482a-a94d-ee5bb5ba0c50,20,2025-12-11 05:55:11,Volvo XC40,15.51,31,32.57
823c58c4-a297-42f8-9413-acc3d4654087,13,2025-09-24 14:03:11,BYD Dolphin,37.5,28,78.75
3e14e38a-0672-406d-9651-41edf4edf368,19,2025-10-09 01:33:11,GWM Ora,17.76,95,37.3
bd3ac4ee-51da-44e4-8f9b-3eb6a085b313,6,2025-12-26 22:59:11,Volvo XC40,12.43,84,26.1
fcc4ffca-11f3-4732-a6e4-f65f034abe88,12,2026-04-15 21:55:11,Porsche Taycan,31.97,30,67.14
8c906b22-ff69-439d-a52d-d8add9d42c41,14,2026-07-06 01:08:11,BYD Seal,32.25,33,67.73
6a6e1334-b86b-4f9b-ad79-72497220abf8,17,2026-01-13 12:12:11,BYD Seal,31.36,107,65.86
3eff37cf-4526-4099-a72b-43ecc7720448,8,2025-08-17 21:50:11,Nissan Leaf,26.9,108,56.49
56e13652-08b7-495e-824d-80fff899eebc,15,2025-08-01 13:54:11,Volvo XC40,31.25,100,65.62
87e8f8a3-b615-46ce-a7c6-f69625e7bb0e,17,2026-04-17 01:00:11,BYD Dolphin,22.0,92,46.2
b1218b92-89d2-41bd-87dd-a3b30fd26f16,6,2026-04-06 07:17:11,Porsche Taycan,31.87,88,66.93
23f636b2-fd96-45d8-a3c0-115b991c6428,4,2026-06-17 05:21:11,GWM Ora,50.63,102,106.32
7c90682d-f5e7-48e2-931a-da94fbb11c65,17,2026-01-10 04:38:11,Renault Kwid E-Tech,25.36,52,53.26
36b20079-61a3-4aa7-a2dd-bcc509571776,16,2025-11-03 09:39:11,Nissan Leaf,44.29,64,93.01
c111e592-e6c3-4343-adcd-75417ce22a07,10,2026-05-24 12:28:11,Volvo XC40,14.94,22,31.37
98db41e4-3388-4e52-809e-fae820453221,12,2025-08-09 14:09:11,Porsche Taycan,14.46,76,30.37
4b14bd79-a194-4b2e-80f3-38a9b1493e80,15,2025-08-10 23:37:11,GWM Ora,56.06,61,117.73
1614bc41-b80a-4ebe-bb69-c6094d74ab9a,4,2025-12-19 05:51:11,BYD Seal,27.87,95,58.53
8c411777-860f-4610-bddb-3d9dbd782509,4,2026-06-26 02:53:11,BYD Dolphin,21.11,92,44.33
b17ce107-94b9-41d8-a1d5-e06cc8f4096d,14,2026-05-26 05:46:11,Nissan Leaf,56.32,58,118.27
e221bf49-7a3e-4c0b-a5e4-a25b9a265343,5,2025-09-25 22:04:11,Volvo XC40,53.07,85,111.45
8d371dc0-648c-4745-9927-478a4ac53d62,16,2026-01-22 06:38:11,GWM Ora,20.88,25,43.85
81b2b3fb-b080-48aa-bc7b-2a385c9e08fe,20,2026-03-24 21:36:11,Renault Kwid E-Tech,32.44,65,68.12
bb298a14-e85a-4bf8-8174-0e8a97a1fc1f,13,2025-09-06 11:43:11,BYD Seal,50.94,103,106.97
c83f4767-4a0c-4439-b75d-5ac6c5094967,17,2026-07-10 12:45:11,Porsche Taycan,24.25,82,50.93
dce98b30-612e-4ca9-b728-6397a280208c,16,2025-07-28 22:20:11,BYD Seal,38.46,92,80.77
de2ebff0-3d2c-4a6f-b34f-bae371cf89e5,1,2025-10-23 12:36:11,Nissan Leaf,35.04,36,73.58
275847fe-8e0e-4443-80a1-f0bc77a5e50e,20,2025-10-07 13:22:11,BYD Seal,27.94,109,58.67
bc3a930a-5a30-44ae-ba7c-9dfca55721fe,16,2025-10-03 04:13:11,GWM Ora,53.55,100,112.45
b4c0fb5a-84fe-4e52-b519-4dfec404fd9b,14,2026-07-10 06:27:11,BYD Dolphin,24.87,41,52.23
a00ffb74-8e34-4e58-8feb-53bb9597ecd7,5,2025-11-30 09:45:11,Nissan Leaf,18.53,44,38.91
36b5082e-0dd4-4768-824c-9c4160f68ff6,12,2026-05-30 07:45:11,BYD Dolphin,15.33,113,32.19
62dc0c2a-eeb6-48fc-822b-a6ed1029fd1b,14,2026-06-24 01:56:11,BYD Seal,51.27,73,107.67
924acc6c-9164-46cb-af70-174f7e7a97ab,13,2026-07-01 03:57:11,Renault Kwid E-Tech,31.95,62,67.09
4314437f-7b31-42b9-84a6-430f6d5a22ef,1,2026-01-08 08:20:11,Volvo XC40,38.3,106,80.43
1112834f-9cdb-4dec-9a58-fbc7f0800609,10,2025-11-13 13:23:11,Renault Kwid E-Tech,24.4,67,51.24
337ef450-0bb3-45b5-8d6f-85cf2b642e77,12,2025-11-11 21:43:11,BYD Seal,19.39,78,40.72
7782587f-6091-49c4-b0f6-5ac06b5edc03,1,2025-10-19 10:45:11,Volvo XC40,11.27,58,23.67
60997277-bebc-40db-a5f8-e0dbffcb9849,4,2026-02-10 12:50:11,BYD Dolphin,39.61,113,83.18
3ed62826-732e-4113-bc22-342482f1ad2f,6,2025-09-06 13:35:11,GWM Ora,17.09,91,35.89
c7f5cc8f-da5d-4263-9567-181b889b40e8,14,2026-02-03 04:55:11,Volvo XC40,46.28,99,97.19
b0ee1a86-daa1-4de3-b40b-59478d483849,16,2025-11-19 13:35:11,Porsche Taycan,59.35,76,124.64
b7965d0f-83be-47b2-b0d9-d7b4bb83992d,1,2026-03-10 05:27:11,Nissan Leaf,24.1,44,50.61
c76f1502-0b71-4643-b121-31095cd2fd7d,4,2026-03-30 06:36:11,Porsche Taycan,42.34,95,88.91
f82f85fa-60dc-4346-bdfe-c40a78db53d7,14,2026-07-09 08:51:11,Porsche Taycan,53.36,33,112.06
12dfb2ce-d1cb-49de-a58b-0355a2ac8f71,17,2025-11-29 08:37:11,Porsche Taycan,34.28,22,71.99
dcabb605-e356-468e-ae2a-f90025184920,4,2026-02-08 10:53:11,Renault Kwid E-Tech,18.16,71,38.14
bc82f6fe-be35-4e1d-865a-e096a289f6a1,12,2025-08-20 14:48:11,Volvo XC40,35.99,84,75.58
e5fa276f-da74-46b6-937b-f1e6a6cc4a1c,14,2026-01-16 07:21:11,BYD Seal,51.55,115,108.25
c9335f83-973b-478a-8ca5-252edcbede30,12,2026-05-21 14:21:11,Porsche Taycan,19.62,59,41.2
a6503772-8864-4ad6-a29a-4ec002b78ade,19,2025-11-02 03:31:11,Nissan Leaf,56.0,83,117.6
a98c9f36-81ce-4269-aa35-e4e567b09633,15,2025-12-28 00:21:11,GWM Ora,50.48,30,106.01
9ebb73de-e9a0-491a-9bbf-0cf8bde01515,13,2025-12-20 21:50:11,Nissan Leaf,47.34,108,99.41
5b1b66c9-5278-429d-a918-ceaaf3b06207,1,2026-02-28 09:29:11,BYD Seal,24.64,77,51.74
1ebfb714-9b64-428b-b437-e29aa3de6453,1,2025-12-16 14:29:11,BYD Seal,27.29,107,57.31
8d0cc46b-2478-45ab-b7f8-de232f1bba4d,10,2025-09-19 12:40:11,Volvo XC40,54.78,87,115.04
394d0072-4963-4285-8057-48b01ebc06bc,10,2025-11-30 02:00:11,BYD Seal,46.22,80,97.06
fc970e5e-d3ed-4abb-b677-eda26e1b49ee,17,2025-12-30 06:40:11,BYD Dolphin,17.31,71,36.35
196a756e-ff7c-40e2-b966-3634127ddae9,20,2025-09-30 08:03:11,BYD Seal,21.68,110,45.53
c07ec341-168e-4433-85bc-b02d4a7d8cd5,4,2025-10-16 23:16:11,BYD Seal,20.78,93,43.64
6189ad4a-0e78-4149-b906-5bc668f40db4,12,2025-07-25 21:17:11,BYD Seal,26.84,30,56.36
0ea14211-a6b0-4fbd-8079-3773d6300c18,3,2025-10-23 01:26:11,Porsche Taycan,35.86,89,75.31
e67e3ac6-70b4-4935-8d12-f504b291ab65,20,2026-06-23 02:45:11,GWM Ora,37.48,40,78.71
fe8c6fdf-85ea-4b18-a0c2-3f48c65d9b0b,8,2026-06-13 21:27:11,Renault Kwid E-Tech,30.19,71,63.4
7db0a071-67f1-4c8d-93a7-830ac843cd43,13,2025-10-31 08:21:11,Porsche Taycan,44.29,101,93.01
f6c56063-f9df-45e0-a482-11e2e655efe3,19,2025-11-02 00:30:11,Porsche Taycan,22.54,81,47.33
6ac25415-ba1b-4cf4-a22c-2b9e63e226ce,13,2025-12-20 10:56:11,BYD Seal,20.23,36,42.48
c0de9b7e-dd71-4811-8de0-c8796df4aec3,3,2026-03-09 12:46:11,Renault Kwid E-Tech,49.35,111,103.64
5bac5b91-6a3a-4024-8b6a-ca5f0867bb20,10,2026-06-07 00:31:11,Porsche Taycan,34.55,80,72.55
fd9253ea-db90-40be-a319-1af3564ca08b,6,2025-11-20 11:43:11,BYD Seal,54.66,86,114.79
72a78841-bb96-4675-9526-94f3d0b6691b,6,2025-08-03 02:12:11,Porsche Taycan,26.37,105,55.38
5ed26f36-c803-4e6a-ac7f-bceb5846e4a4,10,2026-06-02 03:16:11,Nissan Leaf,47.86,88,100.51
84f4e44f-90da-41c3-b25f-2416db72235c,4,2025-10-21 12:56:11,BYD Dolphin,22.83,38,47.94
538bcce9-ee71-4314-863a-383e91cd9bab,12,2025-08-19 14:18:11,Nissan Leaf,41.46,84,87.07
036b7ad5-ac0c-4aed-9d0d-7830c98c62ac,5,2026-02-14 04:51:11,BYD Dolphin,26.56,80,55.78
a7939997-1e39-4f4e-9bba-94fa0bd4daf1,12,2026-06-20 11:18:11,BYD Dolphin,29.0,116,60.9
359763f5-2437-4f82-8f23-7a9e0228c64c,10,2026-04-04 08:43:11,BYD Dolphin,46.36,79,97.36
f7808d17-c81f-498f-bf3c-7442b02a9178,1,2026-05-18 14:01:11,GWM Ora,36.88,87,77.45
699849e4-b7b6-4753-873a-2aefaddcf416,19,2026-04-10 11:26:11,BYD Seal,59.19,52,124.3
0f424933-0e01-4fe4-9fec-972d6c997de3,16,2026-03-01 05:04:11,Porsche Taycan,38.35,77,80.54
ed5278bc-0ced-42d8-b7dd-903aefb78d26,16,2025-09-05 03:11:11,BYD Dolphin,17.85,44,37.49
b23f1708-e69e-44c3-8c54-aa0f6c21402d,3,2025-10-14 09:07:11,GWM Ora,13.31,118,27.95
108856f9-11da-4e69-9efc-9ba10f0878c8,4,2025-10-03 23:09:11,Renault Kwid E-Tech,18.33,32,38.49
2366867c-5971-445d-a0fd-ce6d3a02c14b,19,2026-03-10 08:12:11,Nissan Leaf,38.29,115,80.41
aacd890e-2f74-46b6-8aab-5d06ac53701a,6,2025-07-14 22:57:11,GWM Ora,18.43,97,38.7
6c80d3f4-8733-4986-9a78-4eced5505fa1,5,2025-12-13 05:35:11,Porsche Taycan,43.89,45,92.17
8a29956a-f8ba-4458-ae01-8b6a57a03604,5,2026-01-21 05:24:11,Volvo XC40,22.93,85,48.15
acd26a1b-b208-4a2a-bb8c-3339e62a54b4,10,2026-05-13 07:11:11,BYD Dolphin,14.34,93,30.11
83c5dadc-8a16-4585-b8a6-4e9d9c060b8f,6,2025-09-29 00:24:11,Renault Kwid E-Tech,57.84,97,121.46
194df8d4-0243-4f85-88c7-c1e62c8289c3,17,2025-08-24 09:10:11,Nissan Leaf,40.5,87,85.05
32fca91a-e37f-4abe-a7ec-287cd1da97f5,13,2025-12-26 04:29:11,BYD Dolphin,21.84,43,45.86
d55dfec8-c7fd-4e14-aae8-2bab489d850b,17,2026-01-29 04:16:11,Porsche Taycan,59.29,88,124.51
a788401c-d0ed-46ac-81c6-f1a368e61177,20,2025-11-15 06:48:11,BYD Dolphin,31.52,112,66.19
1b325df6-d797-4c27-9cf7-e6c6d71be438,20,2026-03-28 23:44:11,BYD Dolphin,10.68,63,22.43
0597642b-e151-4cca-8d72-c76be88216fa,4,2025-08-04 05:17:11,Volvo XC40,46.75,41,98.17
4095c518-fef8-4368-bb62-e41e6a1f7aec,8,2025-10-16 09:51:11,GWM Ora,34.73,74,72.93
c54e7b3c-1928-4a88-9eb1-392a611b11b2,6,2025-08-17 23:09:11,Renault Kwid E-Tech,10.89,30,22.87
f7ead0bf-b2de-432f-9ec8-558b0afba15b,5,2026-06-23 12:18:11,GWM Ora,39.55,71,83.05
e8c7e51f-73db-4239-aaaa-10ccadaffce4,20,2026-07-02 03:20:11,Renault Kwid E-Tech,57.91,21,121.61
384ed6a5-22ea-4192-b573-72127c91e9f4,20,2026-04-18 09:05:11,GWM Ora,34.67,57,72.81
6d033b70-6045-45d9-9868-170d1ec14f48,10,2025-10-31 00:36:11,Nissan Leaf,41.66,34,87.49
8b76952a-7187-476f-b2dd-9345623d9695,1,2025-11-09 05:40:11,Volvo XC40,40.06,59,84.13
142e9675-b7d9-466d-ad40-7033837e8f62,17,2025-08-21 05:39:11,Nissan Leaf,10.78,61,22.64
fb99b48d-69b3-47de-b744-d2017d48638f,20,2025-10-24 12:09:11,Porsche Taycan,31.18,113,65.48
b2a52da4-9aaf-4203-8a22-6e5626496e33,12,2025-07-30 00:52:11,Nissan Leaf,53.16,57,111.64
2150c661-d86d-42f1-8c4c-ad250dc9d471,8,2025-08-16 22:18:11,BYD Seal,38.87,34,81.63
2ac339c5-37d6-467a-8e39-5c8fc48f7680,1,2026-02-28 10:57:11,BYD Dolphin,55.25,51,116.03
c9c17c1e-5dcd-44f3-abe3-7de26ee552b5,6,2026-05-31 12:12:11,Renault Kwid E-Tech,41.91,73,88.01
ea774e1c-4062-4ded-a592-df97b8997a3b,8,2025-10-06 06:59:11,Volvo XC40,37.63,27,79.02
ef3928e4-f407-4469-8a34-8e9f371f6a8c,12,2025-11-17 01:36:11,GWM Ora,48.06,50,100.93
03fd0068-e893-4572-b978-f86b9f72865f,19,2025-09-20 01:59:11,Renault Kwid E-Tech,25.61,99,53.78
4f4e0921-9993-43c8-83d2-3d9727f22d50,15,2025-12-09 11:45:11,Nissan Leaf,41.7,49,87.57
829e5dac-677d-4be7-87b4-1be31f2ece0e,8,2026-02-05 09:41:11,BYD Dolphin,13.49,29,28.33
5912d3af-8d80-4032-8198-cd93b341a801,14,2026-05-07 01:41:11,Nissan Leaf,44.39,120,93.22
ac45c020-7db7-4c3e-a00a-a72a082389b6,1,2026-04-07 06:06:11,Nissan Leaf,44.61,81,93.68
35a68058-70ff-46df-877e-930d72836700,1,2025-07-13 03:46:11,BYD Seal,44.69,91,93.85
6a289287-f73f-45b7-a98e-cb1ad456a6df,5,2025-10-31 06:01:11,BYD Seal,17.84,77,37.46
3d5aabbd-d96b-4ff2-99e2-3c4b34322729,4,2026-06-03 10:19:11,BYD Dolphin,57.93,43,121.65
ea6e9213-b269-4850-b51f-1431e6cd244b,16,2025-09-05 00:11:11,Renault Kwid E-Tech,49.92,29,104.83
c24ac874-49a8-4835-bd53-6dd509149fd5,8,2025-09-19 09:20:11,Renault Kwid E-Tech,11.67,34,24.51
79b77be4-5ea1-41f2-9571-b05cf449b59c,17,2025-09-14 00:26:11,Nissan Leaf,16.03,36,33.66
093fd222-3e36-42b3-be92-4a2d0cff0d89,19,2025-08-19 21:33:11,Nissan Leaf,30.44,102,63.92
2f1ab6fa-192c-4f9f-b92e-7981d76e40ff,14,2026-03-24 09:42:11,Volvo XC40,22.28,119,46.79
6266386e-3fc1-4d35-8fe2-ae0d6f8012d4,5,2026-02-14 10:03:11,Volvo XC40,41.38,75,86.9
4db5da53-b286-47f9-aee6-86c401f0bf44,12,2025-11-06 06:10:11,BYD Dolphin,19.25,74,40.43
2c781e98-773e-446a-80f6-c726efbab12d,1,2025-08-27 14:26:11,Porsche Taycan,24.03,39,50.46
fea5f336-7dad-4333-91d2-8c4938b39a96,14,2025-09-11 12:30:11,GWM Ora,57.33,69,120.39
a89e4283-851f-44be-bfc6-4b6182084b33,1,2025-11-28 01:01:11,Porsche Taycan,56.87,44,119.43
42139516-91a3-452e-817f-12b25219849c,4,2025-08-25 03:26:11,Renault Kwid E-Tech,13.11,44,27.53
e5ede057-4fa7-4a5b-a9ef-e6f56eeaff21,16,2025-09-21 06:23:11,BYD Dolphin,46.8,66,98.28
0492bb85-59c2-462e-bfb1-423581f89c83,20,2026-01-29 10:44:11,GWM Ora,33.72,106,70.81
b9fee8d0-f28b-4177-b492-24648bbc69d7,8,2026-03-20 01:37:11,Volvo XC40,30.38,104,63.8
ea15416d-e7cf-4722-b077-5aa929d9cef9,4,2026-04-30 08:37:11,Renault Kwid E-Tech,55.08,24,115.67
af5bbbed-2f47-42ca-ad83-473fe7710cda,10,2026-04-09 22:03:11,Renault Kwid E-Tech,17.28,88,36.29
2e70990b-72fb-4573-b144-366f267613bb,3,2025-08-25 11:26:11,BYD Seal,48.36,88,101.56
34c49839-de44-40a7-a9b1-5e8a06d06c23,12,2025-07-27 03:04:11,Volvo XC40,39.43,90,82.8
0f84d0db-e2be-4cb1-9716-4ccbbeb7e36c,14,2026-01-23 08:22:11,GWM Ora,59.1,28,124.11
b1859465-6e61-434c-8d8e-44a432b8d55b,19,2026-03-17 01:00:11,Porsche Taycan,39.36,73,82.66
43c6d7fb-4a97-482c-8044-53361ecd9a02,12,2026-03-18 03:45:11,GWM Ora,44.25,109,92.92
6bc89560-0597-4cb9-accb-bc5942c356ae,1,2025-10-04 06:59:11,BYD Seal,20.63,79,43.32
5da52300-79d6-4f32-9c59-a99cc5a223aa,14,2025-11-16 09:07:11,Volvo XC40,38.14,101,80.09
3c9ab392-f511-40f5-a61f-b6e8450b997b,6,2025-07-14 12:33:11,BYD Dolphin,54.67,41,114.81
4121d88e-573d-4692-91af-75804935a2dd,12,2026-03-16 14:36:11,Nissan Leaf,38.04,57,79.88
e55db8ff-8413-4b40-8622-8a4b722416e7,19,2026-01-05 09:39:11,Nissan Leaf,42.15,92,88.52
d9ef1497-68b0-47b3-bfc7-86ba56a56f35,5,2025-10-03 12:33:11,Renault Kwid E-Tech,10.63,58,22.32
50a89859-6964-4082-9787-bf05a75fdca4,8,2025-10-07 14:30:11,BYD Dolphin,27.29,103,57.31
c5c595a1-4b61-40b1-ac75-446d9d2e0125,15,2026-04-13 00:42:11,Volvo XC40,24.96,42,52.42
c0ce5d8e-7ae1-4ec7-a780-6a458b67f3e2,12,2025-07-21 05:47:11,Volvo XC40,11.89,37,24.97
97d16153-7ec6-46fa-9704-d0ed3a466bbb,16,2026-03-30 22:01:11,Volvo XC40,28.91,106,60.71
329cb8d1-e95b-4d9c-ae63-54fc5fb4c16a,15,2026-04-13 13:56:11,Nissan Leaf,26.34,92,55.31
b0419392-1740-41df-9f61-937c63eaad96,20,2025-07-15 11:30:11,Porsche Taycan,52.49,82,110.23
dee0a97e-e4b0-4b64-ba8f-c3e3c5980b3c,8,2026-07-05 06:56:11,Volvo XC40,52.54,55,110.33
43354298-dce0-4633-a8a8-a555ed8a64eb,12,2026-05-13 00:33:11,Porsche Taycan,26.24,47,55.1
9b516512-d471-4324-9918-e2f920c575f8,6,2025-09-18 20:58:11,Renault Kwid E-Tech,45.4,77,95.34
569ef282-f31c-4cbf-b1eb-d3f36ec0cac0,19,2026-01-15 11:52:11,Porsche Taycan,10.21,74,21.44
0d89a8ad-2514-4d39-a6c3-f91377354294,10,2025-08-20 11:04:11,BYD Dolphin,34.7,108,72.87
48968592-fb44-4007-b49a-255e777a5ddd,12,2025-10-10 11:51:11,Renault Kwid E-Tech,24.94,48,52.37
2eba8314-bd57-4380-a489-dc84f33d65b2,13,2025-11-25 02:41:11,BYD Seal,46.62,66,97.9
4bcde91e-4d17-4375-b495-0fdadaf11f32,6,2025-10-14 02:01:11,Nissan Leaf,26.02,21,54.64
ea0b0df2-a739-4760-83f0-efae77947967,15,2026-04-11 22:22:11,Porsche Taycan,43.47,95,91.29
d8ac5190-6738-4a51-a034-d8d108e206d2,15,2025-10-05 02:17:11,Renault Kwid E-Tech,59.09,20,124.09
16fdd504-db29-470d-8ad7-acb7a36a383e,5,2026-04-30 22:26:11,Porsche Taycan,10.17,20,21.36
cf8b0b8b-f58c-4e41-8257-59b60f28b1fe,17,2025-08-11 01:04:11,Porsche Taycan,56.8,38,119.28
ef7a6b56-6132-4b01-946e-bf35d0e02ae3,15,2026-04-16 12:25:11,GWM Ora,30.35,60,63.74
f99f8e81-41c1-476b-af78-f927a6734af9,19,2026-04-04 13:12:11,BYD Seal,51.27,32,107.67
598baa91-f93a-476a-a22a-f01ac6053c48,14,2025-10-28 05:45:11,Volvo XC40,35.99,44,75.58
f12a5077-fa62-4f96-add1-aef14664b0e0,14,2026-04-23 03:34:11,Porsche Taycan,36.86,63,77.41
c3028568-bb42-45e9-b760-a7d908f2901c,8,2026-02-18 06:31:11,BYD Seal,44.97,79,94.44
2e552001-3091-485b-b53b-d3a627369a4e,15,2026-04-17 09:29:11,BYD Dolphin,37.26,66,78.25
32edff35-18ff-4dd7-9e5d-55089f213636,5,2025-11-16 04:15:11,BYD Dolphin,38.17,70,80.16
460f0b25-ef48-441b-b92f-7ca031285a26,12,2026-03-21 14:25:11,Renault Kwid E-Tech,47.29,67,99.31
2053ce5d-d0c4-4869-90c0-7f7239012086,16,2025-08-29 08:29:11,Volvo XC40,36.71,28,77.09
34afd342-ed33-4ca3-b4f2-9bf068a019f0,15,2025-08-25 22:13:11,Nissan Leaf,43.86,63,92.11
0946cdd6-1339-4121-8c18-2b694f6c0a0b,14,2025-08-14 14:44:11,Renault Kwid E-Tech,41.23,56,86.58
b6b179fc-6b2b-4dd2-a588-0fc3b2707253,12,2026-02-08 04:12:11,Volvo XC40,35.23,22,73.98
587814a2-1fee-4ddf-90ff-0a473e4c2be0,15,2025-11-07 01:23:11,BYD Seal,48.2,119,101.22
f74d7674-cb5a-4990-8b81-75b47fcb6862,4,2026-03-29 07:40:11,Porsche Taycan,15.14,26,31.79
e781b9b3-5a10-4842-8a0b-4f22341a7827,14,2025-09-25 05:05:11,Volvo XC40,49.34,100,103.61
0976130b-7923-422e-9ba1-145a84f942ed,3,2026-07-09 04:35:11,BYD Seal,59.22,113,124.36
920fb8e5-594c-49c9-92c0-cc1355fb681f,12,2025-07-12 21:46:11,Renault Kwid E-Tech,15.27,120,32.07
ac2c4c6c-70e1-4e7b-b60c-35d2dd406d6d,13,2026-06-16 22:46:11,Nissan Leaf,46.16,75,96.94
348828aa-bbab-4951-a356-64352d75b44e,10,2025-12-18 13:07:11,BYD Seal,49.56,69,104.08
bda58b29-0c99-4e5d-8a81-4897946ad850,1,2026-07-07 03:13:11,GWM Ora,44.79,24,94.06
5741f2f4-ad13-48cf-bd8d-3d924d108b7a,8,2026-01-06 23:51:11,BYD Seal,19.4,34,40.74
b35dfe00-81bf-4280-a047-3c7977804001,19,2025-09-10 20:57:11,Porsche Taycan,41.04,113,86.18
