id_operacao,id_projeto,data_hora,veiculo_modelo,energia_consumida_kwh,tempo_utilizacao_min,preco_kwh_brl,receita_gerada_brl,data_referencia,ano_mes,hora_recarga,custo_energia_brl,margem_bruta_brl
dfed2c43-e256-46dc-8f54-86b7c7b5b2bc,2,2026-07-07 13:36:24,Volvo EX30,21.68,115,2.49,53.98,2026-07-07,2026-07,13,19.51,34.47
bfddc3d9-9ee3-4c2a-b94d-62046808593f,18,2026-03-14 18:24:42,BYD Dolphin,49.62,36,2.1,104.2,2026-03-14,2026-03,18,44.66,59.54
3c9ad14c-ee0c-4eb5-acfe-db992790cebd,4,2026-03-29 16:55:06,Nissan Leaf,53.71,78,2.49,133.74,2026-03-29,2026-03,16,48.34,85.4
ccc56569-f9e8-4369-a999-b735dd56cc94,3,2025-07-22 10:26:55,GWM Ora 03,42.74,120,2.1,89.75,2025-07-22,2025-07,10,38.47,51.28
698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a,13,2025-11-27 16:39:44,Renault Kwid E-Tech,29.87,106,1.99,59.44,2025-11-27,2025-11,16,26.88,32.56
ecab3301-bc8f-4d29-adea-94930658663a,20,2026-04-14 18:20:40,BYD Dolphin,45.94,99,2.49,114.39,2026-04-14,2026-04,18,41.35,73.04
696608aa-ee49-4329-884a-7b28550a1b46,27,2025-08-19 13:40:43,BYD Dolphin,56.05,75,2.1,117.7,2025-08-19,2025-08,13,50.44,67.26
bc2cbb0d-dd33-4cc7-ab7f-089acd5f4822,2,2025-09-03 09:28:10,Volvo EX30,44.7,27,1.99,88.95,2025-09-03,2025-09,9,40.23,48.72
28c13091-444d-410b-bf87-e362cf8d446a,21,2025-12-12 17:23:27,Porsche Taycan,17.28,43,2.49,43.03,2025-12-12,2025-12,17,15.55,27.48
61ee411a-1bac-47a7-b386-f7a4c991603f,18,2025-10-10 11:05:39,Nissan Leaf,53.54,38,2.1,112.43,2025-10-10,2025-10,11,48.19,64.24
787f2425-dbcc-4477-89e9-db0adf465290,29,2025-11-10 20:40:16,GWM Ora 03,32.98,56,1.99,65.63,2025-11-10,2025-11,20,29.68,35.95
eb1fa9f2-d10b-41d0-b317-347038f16a81,21,2026-06-26 23:10:04,Volvo EX30,32.09,101,2.29,73.49,2026-06-26,2026-06,23,28.88,44.61
d20eac17-4e20-4d1a-9983-36e375d66ed4,18,2026-02-17 14:29:54,BYD Dolphin,25.11,50,2.49,62.52,2026-02-17,2026-02,14,22.6,39.92
39118497-3a43-42ba-9f0f-06cbcb9bc326,1,2026-01-26 17:36:18,Renault Kwid E-Tech,59.63,104,2.29,136.55,2026-01-26,2026-01,17,53.67,82.88
6601ddd0-3170-4437-a8f7-ef5a060edf5b,22,2026-02-02 14:00:36,Porsche Taycan,53.25,83,1.99,105.97,2026-02-02,2026-02,14,47.92,58.05
11c58ef0-dd46-4c09-8752-87aa5408f9ac,22,2025-12-08 13:38:51,Volvo EX30,27.62,106,2.1,58.0,2025-12-08,2025-12,13,24.86,33.14
59e4b671-4774-4c58-85f8-bc16f7860b50,11,2026-06-17 10:40:06,Renault Kwid E-Tech,55.17,76,1.99,109.79,2026-06-17,2026-06,10,49.65,60.14
adf4e62d-6651-429e-8268-690ba43825b5,13,2025-08-01 17:46:08,Porsche Taycan,14.51,73,2.29,33.23,2025-08-01,2025-08,17,13.06,20.17
54c63cd8-8945-4f27-97fa-2d8dfb2ca025,19,2025-10-12 12:08:50,Nissan Leaf,36.97,54,2.29,84.66,2025-10-12,2025-10,12,33.27,51.39
e08596db-1d87-4966-8710-d430f071d879,27,2025-10-07 14:58:52,Renault Kwid E-Tech,57.21,63,2.29,131.01,2025-10-07,2025-10,14,51.49,79.52
94a1875d-2db6-4edb-82de-ffccf86c2ca2,24,2025-09-11 20:04:09,Porsche Taycan,47.71,106,2.1,100.19,2025-09-11,2025-09,20,42.94,57.25
09cb3942-43f5-4a85-bbc9-f87af668a617,9,2026-02-03 23:23:05,Nissan Leaf,49.53,35,1.99,98.56,2026-02-03,2026-02,23,44.58,53.98
587ef344-6f3f-420c-98b8-e4cc1bc044fc,30,2026-03-04 17:43:47,Porsche Taycan,43.62,67,2.49,108.61,2026-03-04,2026-03,17,39.26,69.35
6fb78271-504d-481f-8953-5b63ba81edd9,22,2025-09-08 13:30:01,BYD Seal,40.98,102,2.29,93.84,2025-09-08,2025-09,13,36.88,56.96
1d9af659-82ec-4f2d-bbf6-e16f9b3080d5,4,2025-08-16 20:58:44,BYD Seal,25.11,25,2.49,62.52,2025-08-16,2025-08,20,22.6,39.92
30a900ad-939b-462d-a645-f129629c2ae3,15,2025-08-03 15:31:07,GWM Ora 03,14.86,67,2.1,31.21,2025-08-03,2025-08,15,13.37,17.84
6fa17735-b572-43d0-8b5c-ea6a41357e8c,16,2026-06-23 23:26:37,Porsche Taycan,47.11,32,2.1,98.93,2026-06-23,2026-06,23,42.4,56.53
ce777f00-ecf2-4e76-8519-7ff4006ed6e3,17,2026-03-22 19:17:02,GWM Ora 03,44.51,50,2.1,93.47,2026-03-22,2026-03,19,40.06,53.41
f0b5156b-b82c-4074-afd5-dea589d7fd6c,2,2026-01-16 09:43:23,GWM Ora 03,37.22,55,2.29,85.23,2026-01-16,2026-01,9,33.5,51.73
3270e4fa-abae-4f43-bcae-8081bdf070aa,23,2025-10-20 09:54:52,Porsche Taycan,32.74,96,2.1,68.75,2025-10-20,2025-10,9,29.47,39.28
f2e9702d-11e9-4daa-ae69-81a35d3d9e56,29,2025-07-25 07:50:21,Nissan Leaf,22.18,46,2.1,46.58,2025-07-25,2025-07,7,19.96,26.62
9f871ce7-5487-4d4f-abb7-a385aa0b7b14,13,2025-08-19 23:13:37,Renault Kwid E-Tech,20.8,38,2.1,43.68,2025-08-19,2025-08,23,18.72,24.96
1fe771d6-d917-4793-a9d3-c2e6505cc686,20,2026-05-16 06:17:54,Volvo EX30,59.2,42,2.1,124.32,2026-05-16,2026-05,6,53.28,71.04
81d2c7de-4ce1-4b90-a669-7833b841d0a0,21,2025-09-09 06:08:00,Volvo EX30,27.91,22,2.1,58.61,2025-09-09,2025-09,6,25.12,33.49
5380b904-688c-4015-aab9-7e494f2d4796,27,2025-10-12 14:03:08,BYD Dolphin,47.09,80,1.99,93.71,2025-10-12,2025-10,14,42.38,51.33
8dedf9fb-4bb0-4f20-b27c-40266703b636,22,2026-03-01 17:32:37,BYD Dolphin,15.45,113,2.1,32.45,2026-03-01,2026-03,17,13.9,18.55
aa38d0a1-6ba2-4efe-b11c-6eb62095eef6,2,2026-06-17 22:19:29,GWM Ora 03,42.17,71,1.99,83.92,2026-06-17,2026-06,22,37.95,45.97
bf85bf0e-ad64-456c-a10f-aa3ff0bbac67,3,2026-02-18 09:31:45,Volvo EX30,55.49,97,1.99,110.43,2026-02-18,2026-02,9,49.94,60.49
91b0e1d9-9d92-42af-ac8d-0e44e71e43a6,15,2025-09-28 08:08:17,Nissan Leaf,41.22,87,2.29,94.39,2025-09-28,2025-09,8,37.1,57.29
d56f0350-8c45-4ce2-a7f4-8ad54d0b0d1a,23,2025-12-12 20:32:38,Porsche Taycan,31.51,118,1.99,62.7,2025-12-12,2025-12,20,28.36,34.34
35ce8841-4973-4d6c-8dca-bfb7001a9a8b,13,2026-04-23 12:27:28,Renault Kwid E-Tech,54.4,78,2.49,135.46,2026-04-23,2026-04,12,48.96,86.5
9b4e2c24-9479-41e6-8927-7d9b6e0d2648,24,2026-02-04 19:46:06,Volvo EX30,25.63,67,2.29,58.69,2026-02-04,2026-02,19,23.07,35.62
7118e364-7709-4749-927e-ecfaa79ac9aa,16,2025-10-01 21:04:05,BYD Dolphin,51.59,115,1.99,102.66,2025-10-01,2025-10,21,46.43,56.23
82dc4c8e-36b5-429a-acf5-e81e71316269,24,2026-01-21 10:35:03,BYD Dolphin,39.32,72,2.29,90.04,2026-01-21,2026-01,10,35.39,54.65
f5b78cc7-e6b3-4944-8b32-3e357922bac2,22,2026-01-12 19:55:58,Volvo EX30,46.05,65,2.29,105.45,2026-01-12,2026-01,19,41.44,64.01
a8aa7158-2b70-4525-bc67-f831cbc84759,4,2025-09-06 22:13:09,Volvo EX30,42.84,91,2.1,89.96,2025-09-06,2025-09,22,38.56,51.4
a9f25336-83f4-49a9-88a6-39d015b52908,20,2026-01-19 09:48:17,Renault Kwid E-Tech,38.71,99,2.49,96.39,2026-01-19,2026-01,9,34.84,61.55
17e8392a-55ce-45db-9e87-e04ca2086977,1,2026-05-25 23:01:38,BYD Seal,56.45,54,2.29,129.27,2026-05-25,2026-05,23,50.81,78.46
3c20592f-c04a-46c4-b3b6-3fe1d1843324,5,2026-07-09 15:58:21,Nissan Leaf,27.55,104,2.1,57.86,2026-07-09,2026-07,15,24.8,33.06
ce7ae7f6-3982-4cff-8f77-a665ac3c5640,3,2026-02-05 08:09:47,Porsche Taycan,41.66,87,1.99,82.9,2026-02-05,2026-02,8,37.49,45.41
0bd4a990-0640-4e0f-a5b8-fd4b32fa2de8,11,2025-11-02 18:26:29,Porsche Taycan,27.04,61,2.29,61.92,2025-11-02,2025-11,18,24.34,37.58
9c7c7377-79a2-4903-bbe3-3b243eae0032,24,2026-05-01 08:56:03,BYD Dolphin,17.78,54,1.99,35.38,2026-05-01,2026-05,8,16.0,19.38
74962764-12a4-4ef0-84bb-b7a9d98868dd,7,2026-02-26 19:31:38,Renault Kwid E-Tech,32.1,85,2.29,73.51,2026-02-26,2026-02,19,28.89,44.62
935f2b0a-a138-4ddc-a2d9-de5d6a18ce4c,19,2025-09-11 17:27:07,Porsche Taycan,24.16,59,2.49,60.16,2025-09-11,2025-09,17,21.74,38.42
624c69b6-b244-45a7-b7e5-848131c681ec,11,2025-08-07 13:25:38,BYD Seal,12.74,118,2.1,26.75,2025-08-07,2025-08,13,11.47,15.28
25c73c44-3e75-43b4-a64f-a6637e8f8095,27,2025-09-23 14:18:20,GWM Ora 03,16.0,42,2.49,39.84,2025-09-23,2025-09,14,14.4,25.44
e4855aa1-016b-4287-b008-05cca7f36ae9,3,2025-09-19 18:34:45,GWM Ora 03,21.51,114,2.29,49.26,2025-09-19,2025-09,18,19.36,29.9
e2add909-c521-4f2d-9c45-d539c03f3538,21,2025-08-05 19:01:29,GWM Ora 03,56.06,93,2.29,128.38,2025-08-05,2025-08,19,50.45,77.93
3805f907-6cd6-4193-8746-8f591b494e15,6,2026-02-07 19:18:07,Renault Kwid E-Tech,30.25,99,2.29,69.27,2026-02-07,2026-02,19,27.22,42.05
b227462c-f53d-4330-8dda-24ba2d06e8cf,16,2026-03-07 17:05:27,Nissan Leaf,52.22,71,2.1,109.66,2026-03-07,2026-03,17,47.0,62.66
8eb22579-0cdb-4ca4-b6ec-bdd68498e113,8,2026-04-09 08:25:55,Volvo EX30,25.51,119,2.29,58.42,2026-04-09,2026-04,8,22.96,35.46
1f115b76-d92c-4227-aadf-50853fcb7546,28,2025-10-09 08:32:40,Volvo EX30,15.7,64,2.1,32.97,2025-10-09,2025-10,8,14.13,18.84
76f2dbfe-cd29-436f-a222-82e174daaebf,6,2026-06-10 10:15:06,Nissan Leaf,17.32,39,2.1,36.37,2026-06-10,2026-06,10,15.59,20.78
8f15ba58-fce6-4504-87f8-424daae65fc1,28,2026-06-15 08:11:49,Nissan Leaf,41.4,117,2.49,103.09,2026-06-15,2026-06,8,37.26,65.83
c1581092-f335-4ba3-913a-7052986f9025,23,2026-05-07 20:43:59,Volvo EX30,54.1,39,2.29,123.89,2026-05-07,2026-05,20,48.69,75.2
d0a44432-9cd6-4852-b14c-7df4e4347d51,21,2026-02-25 08:30:28,BYD Dolphin,41.57,65,2.29,95.2,2026-02-25,2026-02,8,37.41,57.79
6d3ee1dc-8139-4443-a45b-712eb8225688,14,2026-03-31 08:19:29,Renault Kwid E-Tech,32.6,56,1.99,64.87,2026-03-31,2026-03,8,29.34,35.53
722764e6-8c41-461b-a827-a1b9d4a02e53,21,2025-08-23 08:39:38,Nissan Leaf,35.35,114,2.49,88.02,2025-08-23,2025-08,8,31.82,56.2
dc8aee30-be60-43f7-a8be-9288e5af6e39,13,2025-08-05 20:58:51,Nissan Leaf,38.58,80,2.1,81.02,2025-08-05,2025-08,20,34.72,46.3
c074718e-425a-409f-b337-c59979844388,26,2026-03-28 10:03:28,BYD Dolphin,15.18,84,2.29,34.76,2026-03-28,2026-03,10,13.66,21.1
46fde062-a33d-47af-9701-410d3f4b1a70,19,2026-06-10 11:02:15,Nissan Leaf,45.38,98,2.49,113.0,2026-06-10,2026-06,11,40.84,72.16
7c0e8cd8-8573-4793-8715-b2b9c40c5d91,28,2025-10-04 17:23:58,Volvo EX30,24.14,106,2.49,60.11,2025-10-04,2025-10,17,21.73,38.38
709b7d97-464c-44af-bd3f-3799a07295e9,13,2026-05-17 07:50:40,BYD Dolphin,42.37,91,1.99,84.32,2026-05-17,2026-05,7,38.13,46.19
3c07c574-4925-4af1-b6aa-e05b13d5f2f7,13,2026-06-27 18:18:16,BYD Dolphin,46.19,94,2.1,97.0,2026-06-27,2026-06,18,41.57,55.43
e49d681d-51d8-4c64-95fa-1ab8458f1f19,5,2026-06-19 10:58:22,Nissan Leaf,25.51,110,2.49,63.52,2026-06-19,2026-06,10,22.96,40.56
269cd696-236c-4b87-94a0-bccb8a476a87,30,2025-08-27 15:35:24,BYD Seal,42.17,105,2.29,96.57,2025-08-27,2025-08,15,37.95,58.62
271e3ee2-b1a6-41f1-a20e-99d33b33f3d8,1,2026-07-09 22:05:41,Volvo EX30,43.52,59,2.29,99.66,2026-07-09,2026-07,22,39.17,60.49
6a34c854-1071-4d51-b6c5-9dacb4d7e28e,5,2025-10-15 12:21:49,BYD Seal,34.31,29,2.1,72.05,2025-10-15,2025-10,12,30.88,41.17
7746d0ba-8ae8-405b-94b4-a48268586eba,24,2025-12-13 09:32:49,Volvo EX30,36.99,118,1.99,73.61,2025-12-13,2025-12,9,33.29,40.32
d5385b0e-34f3-493c-8ff0-a55c6a702e2f,30,2026-05-27 10:38:24,Porsche Taycan,17.71,118,2.1,37.19,2026-05-27,2026-05,10,15.94,21.25
c51155ff-e7a3-4e81-a3b4-c08b6b8e869f,24,2026-05-30 11:46:28,Porsche Taycan,12.18,50,2.29,27.89,2026-05-30,2026-05,11,10.96,16.93
05000bc6-b20d-4b6e-b231-1f1795863a76,20,2026-02-27 15:48:47,BYD Seal,49.19,59,2.1,103.3,2026-02-27,2026-02,15,44.27,59.03
9360715f-c3fe-4183-a172-b725db52ca58,17,2026-03-12 12:23:43,Renault Kwid E-Tech,57.36,56,2.49,142.83,2026-03-12,2026-03,12,51.62,91.21
f1578470-0182-47c4-ba1b-58066160a6b4,29,2026-01-26 22:33:26,Nissan Leaf,58.31,37,2.1,122.45,2026-01-26,2026-01,22,52.48,69.97
63d62a39-c0e3-4efd-8c71-e0fe5a0cdd7c,26,2025-11-20 07:41:30,Renault Kwid E-Tech,53.71,86,1.99,106.88,2025-11-20,2025-11,7,48.34,58.54
d5f25073-f414-42b1-a442-9ebbda7b9095,19,2025-09-16 15:05:48,BYD Seal,18.02,75,2.49,44.87,2025-09-16,2025-09,15,16.22,28.65
bc10fa52-bf5d-4fdf-89c8-d2ab6b44fa8d,16,2025-08-30 13:52:28,BYD Dolphin,54.23,70,1.99,107.92,2025-08-30,2025-08,13,48.81,59.11
e5d6f6e6-9a6e-42f5-8cc4-29038bcf53a1,8,2026-03-29 17:15:24,BYD Dolphin,59.73,60,2.29,136.78,2026-03-29,2026-03,17,53.76,83.02
45df16b6-382c-443f-bcfc-9b793875394c,30,2025-09-03 16:50:09,GWM Ora 03,16.88,109,2.29,38.66,2025-09-03,2025-09,16,15.19,23.47
638c254c-076e-4bba-bc53-08bf6f92f25e,1,2025-09-24 21:28:39,Volvo EX30,10.26,47,1.99,20.42,2025-09-24,2025-09,21,9.23,11.19
cc530e36-addc-4e13-ab3b-4d37560c95ee,28,2025-09-29 23:46:38,Volvo EX30,36.39,50,1.99,72.42,2025-09-29,2025-09,23,32.75,39.67
d72b6108-2a40-4f12-b963-f37f67814c1f,3,2025-12-16 09:03:15,BYD Dolphin,30.99,83,2.49,77.17,2025-12-16,2025-12,9,27.89,49.28
fb10987f-20ac-4703-ab67-146a77a6e17c,26,2026-05-16 23:01:40,BYD Seal,35.77,57,2.1,75.12,2026-05-16,2026-05,23,32.19,42.93
e82c7d7b-06e7-45f9-88bc-539c9f4c3b79,6,2026-02-19 06:39:22,Porsche Taycan,22.03,105,2.49,54.85,2026-02-19,2026-02,6,19.83,35.02
a9ba5a27-907b-4e36-9786-48f864de82e6,15,2025-08-27 22:23:04,Renault Kwid E-Tech,57.67,80,1.99,114.76,2025-08-27,2025-08,22,51.9,62.86
6db99102-a48b-4dbe-957d-94a106f028ff,29,2025-08-06 18:23:16,BYD Dolphin,47.37,64,2.29,108.48,2025-08-06,2025-08,18,42.63,65.85
2e85cb21-7631-4e9d-9de9-f86322bd3388,5,2025-11-15 09:49:37,BYD Dolphin,46.76,65,2.29,107.08,2025-11-15,2025-11,9,42.08,65.0
53cd6268-610c-4373-8299-9aa40cdf742b,26,2026-04-20 16:52:41,GWM Ora 03,18.75,100,2.49,46.69,2026-04-20,2026-04,16,16.88,29.81
56666f9f-53ac-4ab9-b467-2cd9362f5e5c,2,2025-10-16 10:04:45,Volvo EX30,48.81,45,2.49,121.54,2025-10-16,2025-10,10,43.93,77.61
473bd358-610e-4a64-a130-1617c2dff335,19,2025-08-06 12:56:02,GWM Ora 03,25.78,89,2.29,59.04,2025-08-06,2025-08,12,23.2,35.84
6bebac31-d4f8-4d72-b382-1cfdc083b73a,14,2026-03-14 14:02:48,Renault Kwid E-Tech,42.35,119,2.29,96.98,2026-03-14,2026-03,14,38.12,58.86
78660765-14f7-4e8d-95bc-b8d04094dded,15,2025-08-08 16:17:07,Porsche Taycan,49.97,76,2.49,124.43,2025-08-08,2025-08,16,44.97,79.46
0d557b61-8a17-4dfe-bfc0-0dc804f64d86,29,2026-01-28 16:11:31,Nissan Leaf,44.6,54,2.29,102.13,2026-01-28,2026-01,16,40.14,61.99
39669fa7-5997-4043-b3b1-025bfff9f585,20,2025-08-26 19:05:27,Volvo EX30,40.12,61,2.1,84.25,2025-08-26,2025-08,19,36.11,48.14
f510ab53-c7fe-439f-9190-f938a66fd7f7,22,2025-09-05 08:20:42,Porsche Taycan,24.78,74,2.49,61.7,2025-09-05,2025-09,8,22.3,39.4
07f194f9-c115-4d6d-8a4e-5b70a6d964a3,22,2025-10-08 20:22:28,GWM Ora 03,12.12,55,2.29,27.75,2025-10-08,2025-10,20,10.91,16.84
d6d7b3b8-3309-4d35-bf4d-f561f319c125,19,2026-06-07 07:04:42,Renault Kwid E-Tech,41.88,115,2.29,95.91,2026-06-07,2026-06,7,37.69,58.22
3d114802-2702-478b-9f0f-da8d05379ff6,2,2026-06-27 11:01:09,BYD Seal,52.43,28,2.49,130.55,2026-06-27,2026-06,11,47.19,83.36
1d48a071-ab61-47b1-b93b-4c3220500494,22,2025-11-12 17:23:24,BYD Seal,57.47,106,1.99,114.37,2025-11-12,2025-11,17,51.72,62.65
770c7798-37cc-463b-b2a0-345990604f62,19,2026-03-02 17:23:28,Volvo EX30,48.15,70,2.1,101.11,2026-03-02,2026-03,17,43.34,57.77
5e6fea07-c453-4f1d-8199-2fdfb31022f0,18,2025-12-22 14:15:07,Nissan Leaf,11.3,69,2.1,23.73,2025-12-22,2025-12,14,10.17,13.56
f6b751f7-9b74-4245-9b1b-c8952af43ab7,7,2026-04-28 09:16:49,Nissan Leaf,23.01,56,2.49,57.29,2026-04-28,2026-04,9,20.71,36.58
c71d5e60-1d52-46ab-b7e6-427cbf780e3f,17,2026-07-05 21:12:07,BYD Seal,16.79,111,1.99,33.41,2026-07-05,2026-07,21,15.11,18.3
4fa03f26-f6f7-40cc-a9ec-8e49d1bdb8c0,24,2026-02-27 08:51:43,Volvo EX30,58.38,110,2.29,133.69,2026-02-27,2026-02,8,52.54,81.15
edcb8cb6-0692-4c63-9424-aed51bac5c15,26,2025-08-17 23:34:18,Porsche Taycan,54.57,109,2.1,114.6,2025-08-17,2025-08,23,49.11,65.49
e87466d7-ad66-41bd-9367-6a024fdc6e1b,7,2026-06-06 11:50:23,Renault Kwid E-Tech,35.44,37,1.99,70.53,2026-06-06,2026-06,11,31.9,38.63
f1043785-658b-4523-a014-1de9f54ad0a2,17,2025-11-13 21:01:23,Renault Kwid E-Tech,37.7,90,2.29,86.33,2025-11-13,2025-11,21,33.93,52.4
9793b9b4-1374-4146-b2c5-bd89b70b3420,19,2025-09-19 08:04:19,GWM Ora 03,29.91,118,2.49,74.48,2025-09-19,2025-09,8,26.92,47.56
3e2b6091-a092-452a-94a0-57a7b0cc1b3b,17,2026-02-09 08:08:20,Porsche Taycan,42.12,86,2.49,104.88,2026-02-09,2026-02,8,37.91,66.97
4d3485c5-c5c1-4eb4-b27b-3d901a16342c,28,2026-01-07 10:56:53,BYD Seal,49.01,75,2.1,102.92,2026-01-07,2026-01,10,44.11,58.81
ce3714af-99b4-4350-af2b-99b4d9acd158,6,2026-03-29 07:53:07,BYD Seal,35.91,61,2.29,82.23,2026-03-29,2026-03,7,32.32,49.91
90e0f4a0-fbdd-4933-8bd5-8bf61efd76e9,9,2026-07-13 13:22:33,BYD Seal,54.75,101,1.99,108.95,2026-07-13,2026-07,13,49.28,59.67
8861fe18-58e2-4888-8a83-81bec85aca46,19,2026-04-23 14:08:40,Porsche Taycan,25.14,41,1.99,50.03,2026-04-23,2026-04,14,22.63,27.4
11a72609-5edd-4bbf-a959-76636daa2e68,30,2026-05-14 10:10:42,Nissan Leaf,41.22,25,2.29,94.39,2026-05-14,2026-05,10,37.1,57.29
033d2bce-575a-4d2c-a5c5-650c8186a576,23,2025-07-29 08:02:41,BYD Seal,48.55,118,2.29,111.18,2025-07-29,2025-07,8,43.7,67.48
7d7ddbed-d284-476c-ab88-f83dd97dc9cd,23,2026-05-03 19:39:40,Volvo EX30,11.51,81,2.29,26.36,2026-05-03,2026-05,19,10.36,16.0
5cb85aed-f5f6-4c97-aefb-63b11b049863,6,2025-11-17 18:19:29,GWM Ora 03,13.65,73,1.99,27.16,2025-11-17,2025-11,18,12.28,14.88
75b17a55-d426-4982-a43e-4288a2b5b498,26,2026-03-19 20:13:21,Volvo EX30,40.33,113,2.29,92.36,2026-03-19,2026-03,20,36.3,56.06
2d174fc9-6f7c-45ea-a72a-6d8eb5122df8,13,2026-01-07 18:08:48,BYD Seal,28.53,79,1.99,56.77,2026-01-07,2026-01,18,25.68,31.09
a6846099-f729-4951-8591-31d2bbda0242,11,2025-09-15 14:28:15,GWM Ora 03,17.04,98,1.99,33.91,2025-09-15,2025-09,14,15.34,18.57
eb6c1016-cee6-44d0-9dac-6e8345241ea6,21,2026-02-14 13:55:57,Porsche Taycan,17.98,60,2.29,41.17,2026-02-14,2026-02,13,16.18,24.99
7701f7bb-7bc6-4e1f-864e-e6e389c5b31a,18,2025-10-20 11:31:32,BYD Dolphin,33.34,31,2.29,76.35,2025-10-20,2025-10,11,30.01,46.34
97ac6aa8-bb24-48a3-9363-57b66f81cf4f,2,2026-02-01 22:29:15,BYD Dolphin,20.76,56,2.29,47.54,2026-02-01,2026-02,22,18.68,28.86
3ed8c56c-da09-4fa0-9282-8d8044b591f7,16,2026-03-25 21:18:34,BYD Seal,10.41,53,1.99,20.72,2026-03-25,2026-03,21,9.37,11.35
4767d76c-162f-4a24-af43-613cd4aac9a3,14,2026-01-18 18:23:02,Nissan Leaf,30.03,56,2.1,63.06,2026-01-18,2026-01,18,27.03,36.03
c01f36bf-3e6d-458b-b367-c28de1b294de,30,2025-08-21 18:32:28,Nissan Leaf,48.22,107,2.29,110.42,2025-08-21,2025-08,18,43.4,67.02
ab0e664e-9c3e-42d5-91e1-aa9676f72255,20,2026-05-23 09:08:06,Volvo EX30,29.7,116,2.29,68.01,2026-05-23,2026-05,9,26.73,41.28
7e8adee7-0758-4201-961e-16d16105716b,2,2025-09-26 12:38:32,BYD Dolphin,30.07,37,1.99,59.84,2025-09-26,2025-09,12,27.06,32.78
7cd0129d-2e8d-4e87-9334-20e6d9d80b8d,22,2026-07-15 16:51:30,Nissan Leaf,35.97,37,2.1,75.54,2026-07-15,2026-07,16,32.37,43.17
4223623b-cc3e-4dde-9ad5-cf06364d7c87,21,2025-12-29 16:10:25,Volvo EX30,59.53,84,2.29,136.32,2025-12-29,2025-12,16,53.58,82.74
989d9d4a-e15c-4666-8797-b2c957207246,30,2026-04-01 23:31:45,BYD Dolphin,38.15,67,2.49,94.99,2026-04-01,2026-04,23,34.34,60.65
8e485223-46b9-4991-a14e-b70db380c73a,22,2025-12-31 09:26:37,GWM Ora 03,25.38,53,1.99,50.51,2025-12-31,2025-12,9,22.84,27.67
30e912f2-f2b4-4abf-8441-aefd0299436a,19,2026-06-15 13:46:03,Porsche Taycan,39.18,112,2.1,82.28,2026-06-15,2026-06,13,35.26,47.02
680bac63-b856-4035-bdc9-829015eabb27,21,2026-05-28 18:09:52,Porsche Taycan,44.04,34,1.99,87.64,2026-05-28,2026-05,18,39.64,48.0
